epoch,loss,val_loss
0,1.3664472103118896,1.3628430366516113
1,0.3903201222419739,1.1252102851867676
2,0.3215809464454651,0.7327404618263245
3,0.2950531840324402,0.675696849822998
4,0.2585262954235077,0.718903660774231
5,0.22983887791633606,1.0003726482391357
6,0.22763381898403168,0.8102858662605286
7,0.205049067735672,1.0995105504989624
8,0.1994902789592743,1.3696813583374023
9,0.19561198353767395,1.1525274515151978
10,0.17643076181411743,1.277174711227417
11,0.17099978029727936,1.6952913999557495
12,0.17293141782283783,1.1452773809432983
13,0.17124401032924652,0.9024196863174438
14,0.16078829765319824,0.9548413157463074
15,0.15813937783241272,0.6899393200874329
16,0.15751725435256958,0.4962405264377594
17,0.14931423962116241,0.3578752875328064
18,0.1474991887807846,0.2587009370326996
19,0.14255329966545105,0.21326707303524017
20,0.14292174577713013,0.14333845674991608
21,0.1436091959476471,0.13160932064056396
22,0.1372801959514618,0.13317769765853882
23,0.14137786626815796,0.14889240264892578
24,0.1307360678911209,0.1492944359779358
25,0.13277608156204224,0.13428787887096405
26,0.1269845962524414,0.13692541420459747
27,0.12759338319301605,0.15623711049556732
28,0.12597639858722687,0.260091096162796
29,0.12433843314647675,0.16481605172157288
30,0.13057082891464233,0.2067648470401764
31,0.12355773150920868,0.12640069425106049
32,0.12183164805173874,0.12952584028244019
33,0.12010831385850906,0.14402271807193756
34,0.11987963318824768,0.12586957216262817
35,0.12192828953266144,0.1470058411359787
36,0.11922391504049301,0.1281510889530182
37,0.11739996075630188,0.13020724058151245
38,0.11849895119667053,0.12498334795236588
39,0.1162235215306282,0.12219370901584625
40,0.11444279551506042,0.12003788352012634
41,0.11093402653932571,0.1393423229455948
42,0.11534236371517181,0.25740519165992737
43,0.11350322514772415,0.11615369468927383
44,0.11231854557991028,0.12392793595790863
